Row_ID,Treaty,provision,actorholder,action,actoraffected,treatytext
CBD_M019,CBD,"CBD, Article 8(j)",Contracting Party,"Duty: Shall respect, preserve and maintain TK, innovations and practices of IPLCs relevant for conservation and sustainable use, promote wider application with approval and involvement, and encourage equitable benefit-sharing.",IPLCs,"(j) Subject to its national legislation, respect, preserve and maintain knowledge, innovations and practices of indigenous and local communities embodying traditional lifestyles relevant for the conservation and sustainable use of biological diversity and promote their wider application with the approval and involvement of the holders of such knowledge, innovations and practices and encourage the equitable sharing of the benefits arising from the utilization of such knowledge, innovations and practices."
NAGOYA_M008,Nagoya,"Nagoya, Article 6(2)",Contracting Party,Duty: Ensure PIC or approval and involvement of IPLCs is obtained for access to genetic resources where IPLCs have the established right to grant access.,IPLCs,"2. In accordance with domestic law, each Party shall take measures, as appropriate, with the aim of ensuring that the prior informed consent or approval and involvement of indigenous and local communities is obtained for access to genetic resources where they have the established right to grant access to such resources."
NAGOYA_M013,Nagoya,"Nagoya, Article 6(3)(e)",Contracting Party,Duty: Issue a permit (or equivalent) at the time of access as evidence of PIC and MAT; notify the ABS Clearing-House accordingly.,Clearing-House,"3. Pursuant to paragraph 1 above, each Party requiring prior informed consent shall take the necessary legislative, administrative or policy measures, as appropriate, to: ... (e) Provide for the issuance at the time of access of a permit or its equivalent as evidence of the decision to grant prior informed consent and of the establishment of mutually agreed terms, and notify the Access and Benefitsharing Clearing-House accordingly;"
NAGOYA_M014,Nagoya,"Nagoya, Article 6(3)(f)",Contracting Party,"Duty: Set criteria/processes for obtaining IPLC PIC or approval and involvement, where applicable and subject to domestic law.",IPLCs,"3. Pursuant to paragraph 1 above, each Party requiring prior informed consent shall take the necessary legislative, administrative or policy measures, as appropriate, to: ... (f) Where applicable, and subject to domestic legislation, set out criteria and/or processes for obtaining prior informed consent or approval and involvement of indigenous and local communities for access to genetic resources; and"
NAGOYA_M016,Nagoya,"Nagoya, Article 7",Contracting Party,"Duty: Ensure access to TK associated with genetic resources held by IPLCs occurs with PIC/approval and involvement of IPLCs, and that MAT are established.",IPLCs,"In accordance with domestic law, each Party shall take measures, as appropriate, with
the aim of ensuring that traditional knowledge associated with genetic resources that
is held by indigenous and local communities is accessed with the prior and informed
consent or approval and involvement of these indigenous and local communities,
and that mutually agreed terms have been established."
NAGOYA_M026,Nagoya,"Nagoya, Article 12(1)",Contracting Party,"Duty: Shall, in accordance with domestic law, take into consideration IPLCs’ customary laws, community protocols and procedures with respect to TK associated with genetic resources.",IPLCs,"1. In implementing their obligations under this Protocol, Parties shall in
accordance with domestic law take into consideration indigenous and local
communities’ customary laws, community protocols and procedures, as applicable,
with respect to traditional knowledge associated with genetic resources."
NAGOYA_M048,Nagoya,"Nagoya, Article 16(1)",Contracting Party,"Duty: Shall take appropriate, effective and proportionate measures to ensure TK utilization within its jurisdiction is subject to IPLC PIC/approval and involvement and MAT, as required by provider Party domestic law.",IPLCs,"1. Each Party shall take appropriate, effective and proportionate legislative,
administrative or policy measures, as appropriate, to provide that traditional
knowledge associated with genetic resources utilized within their jurisdiction
has been accessed in accordance with prior informed consent or approval and
involvement of indigenous and local communities and that mutually agreed
terms have been established, as required by domestic access and benefit-sharing
legislation or regulatory requirements of the other Party where such indigenous and
local communities are located."
CBD_M029,CBD,"CBD, Article 10(c)",Contracting Party,Duty: Shall protect and encourage customary use of biological resources in accordance with traditional cultural practices that are compatible with conservation and sustainable use.,IPLCs,(c) Protect and encourage customary use of biological resources in accordance with traditional cultural practices that are compatible with conservation or sustainable use requirements
NAGOYA_M004,Nagoya,"Nagoya, Article 5(2)",Contracting Party,"Duty: Ensure benefits from utilization of genetic resources held by IPLCs are shared fairly and equitably with the concerned communities, based on mutually agreed terms.",IPLCs,"Each Party shall take legislative, administrative or policy measures, as appropriate, with the aim of ensuring that benefits arising from the utilization of genetic resources that are held by indigenous and local communities, in accordance with domestic legislation regarding the established rights of these indigenous and local communities over these genetic resources, are shared in a fair and equitable way with the communities concerned, based on mutually agreed terms."
NAGOYA_M006,Nagoya,"Nagoya, Article 5(5)",Contracting Party,"Duty: Ensure benefits from utilization of TK associated with genetic resources are shared fairly and equitably with IPLCs holding such knowledge, on mutually agreed terms.",IPLCs,"Each Party shall take legislative, administrative or policy measures, as appropriate, in order that the benefits arising from the utilization of traditional knowledge associated with genetic resources are shared in a fair and equitable way with indigenous and local communities holding such knowledge. Such sharing shall be upon mutually agreed terms."
NAGOYA_M032,Nagoya,"Nagoya, Article 13(1)(b)",Contracting Party,"Duty: Shall, where possible, make available to applicants information on procedures for obtaining IPLC PIC/approval and involvement for TK and on establishing MAT.",Resource Users; IPLCs,"Each Party shall designate a national focal point on access and benefit-sharing. The national focal point shall make information available as follows: ... (b) For applicants seeking access to traditional knowledge associated with genetic resources, where possible, information on procedures for obtaining prior informed consent or approval and involvement, as appropriate, of indigenous and local communities and establishing mutually agreed terms including benefit-sharing;"
