model,question_number,conclusion,metric,precision,recall,f1,gold_size,pred_size
anthropic/claude-opus-4.6,Q2,C1,rules_selected,1.0,0.6363636363636364,0.7777777777777779,11,7
anthropic/claude-opus-4.6,Q2,C1,edges_support,0.7777777777777778,0.4375,0.56,16,9
anthropic/claude-opus-4.6,Q2,C2,rules_selected,1.0,0.6363636363636364,0.7777777777777779,11,7
anthropic/claude-opus-4.6,Q2,C2,edges_support,0.7777777777777778,0.6363636363636364,0.7000000000000001,11,9
google/gemini-3.1-pro-preview,Q2,C1,rules_selected,1.0,0.2727272727272727,0.42857142857142855,11,3
google/gemini-3.1-pro-preview,Q2,C1,edges_support,0.8,0.25,0.38095238095238093,16,5
google/gemini-3.1-pro-preview,Q2,C2,rules_selected,1.0,0.36363636363636365,0.5333333333333333,11,4
google/gemini-3.1-pro-preview,Q2,C2,edges_support,0.8333333333333334,0.45454545454545453,0.588235294117647,11,6
google/gemini-2.5-pro,Q2,C1,rules_selected,1.0,0.36363636363636365,0.5333333333333333,11,4
google/gemini-2.5-pro,Q2,C1,edges_support,0.5714285714285714,0.25,0.34782608695652173,16,7
google/gemini-2.5-pro,Q2,C2,rules_selected,1.0,0.36363636363636365,0.5333333333333333,11,4
google/gemini-2.5-pro,Q2,C2,edges_support,0.5,0.2727272727272727,0.3529411764705882,11,6
openai/gpt-5.4,Q2,C1,rules_selected,1.0,0.45454545454545453,0.625,11,5
openai/gpt-5.4,Q2,C1,edges_support,0.625,0.3125,0.41666666666666663,16,8
openai/gpt-5.4,Q2,C2,rules_selected,1.0,0.5454545454545454,0.7058823529411764,11,6
openai/gpt-5.4,Q2,C2,edges_support,0.6666666666666666,0.5454545454545454,0.6,11,9
moonshotai/kimi-k2.5,Q2,C1,rules_selected,1.0,0.7272727272727273,0.8421052631578947,11,8
moonshotai/kimi-k2.5,Q2,C1,edges_support,0.6,0.5625,0.5806451612903225,16,15
moonshotai/kimi-k2.5,Q2,C2,rules_selected,1.0,0.7272727272727273,0.8421052631578947,11,8
moonshotai/kimi-k2.5,Q2,C2,edges_support,0.4666666666666667,0.6363636363636364,0.5384615384615384,11,15
