question_number,conclusion,metric,precision,recall,f1,gold_size,pred_size
Q1,C1,rules_selected,1.0,0.6666666666666666,0.8,6,4
Q1,C1,edges_support,0.5714285714285714,0.4,0.47058823529411764,10,7
Q1,C2,rules_selected,0.75,0.6,0.6666666666666666,5,4
Q1,C2,edges_support,0.6,0.6,0.6,5,5
Q2,C1,rules_selected,1.0,0.45454545454545453,0.625,11,5
Q2,C1,edges_support,0.75,0.375,0.5,16,8
Q2,C2,rules_selected,1.0,0.45454545454545453,0.625,11,5
Q2,C2,edges_support,0.8333333333333334,0.45454545454545453,0.588235294117647,11,6
Q3,C1,rules_selected,1.0,0.3333333333333333,0.5,15,5
Q3,C1,edges_support,0.625,0.19230769230769232,0.2941176470588236,26,8
Q3,C2,rules_selected,0.8,0.5714285714285714,0.6666666666666666,7,5
Q3,C2,edges_support,0.5,0.36363636363636365,0.42105263157894735,11,8
Q4,C1,rules_selected,1.0,0.3333333333333333,0.5,18,6
Q4,C1,edges_support,0.8571428571428571,0.23076923076923078,0.36363636363636365,26,7
Q4,C2,rules_selected,0.6666666666666666,0.36363636363636365,0.47058823529411764,11,6
Q4,C2,edges_support,0.5714285714285714,0.25,0.34782608695652173,16,7
