Row_ID,Treaty,provision,actorholder,action,actoraffected,treatytext
NAGOYA_M003,Nagoya,Article 5(1),Contracting Party,"Duty: Ensure benefits from utilization of genetic resources are shared fairly and equitably with the providing Party (country of origin or Party that acquired in accordance with the CBD), on mutually agreed terms.",Resource-Providing Party,"In accordance with Article 15, paragraphs 3 and 7 of the Convention, benefits arising from the utilization of genetic resources as well as subsequent applications and commercialization shall be shared in a fair and equitable way with the Party providing such resources that is the country of origin of such resources or a Party that has acquired the genetic resources in accordance with the Convention. Such sharing shall be upon mutually agreed terms."
NAGOYA_M006,Nagoya,Article 5(5),Contracting Party,"Duty: Ensure benefits from utilization of TK associated with genetic resources are shared fairly and equitably with IPLCs holding such knowledge, on mutually agreed terms.",IPLCs,"Each Party shall take legislative, administrative or policy measures, as appropriate, in order that the benefits arising from the utilization of traditional knowledge associated with genetic resources are shared in a fair and equitable way with indigenous and local communities holding such knowledge. Such sharing shall be upon mutually agreed terms."
NAGOYA_M011,Nagoya,Article 6(3)(c),Contracting Party,Duty: Provide information on how to apply for PIC.,Resource Users,"Pursuant to paragraph 1 above, each Party requiring prior informed consent shall take the necessary legislative, administrative or policy measures, as appropriate, to: ... (c) Provide information on how to apply for prior informed consent;"
NAGOYA_M013,Nagoya,Article 6(3)(e),Contracting Party,Duty: Issue a permit (or equivalent) at the time of access as evidence of PIC and MAT; notify the ABS Clearing-House accordingly.,Clearing-House,"Pursuant to paragraph 1 above, each Party requiring prior informed consent shall take the necessary legislative, administrative or policy measures, as appropriate, to: ... (e) Provide for the issuance at the time of access of a permit or its equivalent as evidence of the decision to grant prior informed consent and of the establishment of mutually agreed terms, and notify the Access and Benefit-sharing Clearing-House accordingly;"
NAGOYA_M015,Nagoya,Article 6(3)(g),Contracting Party,"Duty: Establish clear rules and procedures for requiring/establishing MAT in writing (e.g., dispute settlement, benefit-sharing incl. IP, third-party use, change of intent).",Resource Users,"Pursuant to paragraph 1 above, each Party requiring prior informed consent shall take the necessary legislative, administrative or policy measures, as appropriate, to: ... (g) Establish clear rules and procedures for requiring and establishing mutually agreed terms. Such terms shall be set out in writing and may include, inter alia: (i) A dispute settlement clause; (ii) Terms on benefit-sharing, including in relation to intellectual property rights; (iii) Terms on subsequent third-party use, if any; and (iv) Terms on changes of intent, where applicable."
NAGOYA_M016,Nagoya,Article 7,Contracting Party,"Duty: Ensure access to TK associated with genetic resources held by IPLCs occurs with PIC/approval and involvement of IPLCs, and that MAT are established.",IPLCs,"In accordance with domestic law, each Party shall take measures, as appropriate, with the aim of ensuring that traditional knowledge associated with genetic resources that is held by indigenous and local communities is accessed with the prior and informed consent or approval and involvement of these indigenous and local communities, and that mutually agreed terms have been established."
NAGOYA_M019,Nagoya,Article 8(a),Contracting Party,"Duty: Create conditions to promote/encourage research contributing to conservation/sustainable use, including simplified access for non-commercial research; address changes of intent.",Researchers,"In the development and implementation of its access and benefit-sharing legislation or regulatory requirements, each Party shall: (a) Create conditions to promote and encourage research which contributes to the conservation and sustainable use of biological diversity, particularly in developing countries, including through simplified measures on access for non-commercial research purposes, taking into account the need to address a change of intent for such research;"
NAGOYA_M045,Nagoya,Article 15(1),Contracting Party,"Duty: Shall take appropriate, effective and proportionate measures to ensure GR utilized within its jurisdiction have been accessed with PIC and that MAT have been established, as required by provider Party domestic law.",Resource-Providing Party,"Each Party shall take appropriate, effective and proportionate legislative, administrative or policy measures to provide that genetic resources utilized within its jurisdiction have been accessed in accordance with prior informed consent and that mutually agreed terms have been established, as required by the domestic access and benefit-sharing legislation or regulatory requirements of the other Party."
NAGOYA_M046,Nagoya,Article 15(2),Contracting Party,"Duty: Shall take appropriate, effective and proportionate measures to address situations of non-compliance with measures adopted under Article 15(1).",Resource-Providing Party,"Parties shall take appropriate, effective and proportionate measures to address situations of non-compliance with measures adopted in accordance with paragraph 1 above."
NAGOYA_M047,Nagoya,Article 15(3),Contracting Party,"Duty: Shall, as far as possible and as appropriate, cooperate in cases of alleged violation of provider Party domestic ABS legislation or regulatory requirements.",Other Contracting Parties,"Parties shall, as far as possible and as appropriate, cooperate in cases of alleged violation of domestic access and benefit-sharing legislation or regulatory requirements referred to in paragraph 1 above."
