model,question_number,conclusion,metric,precision,recall,f1,gold_size,pred_size
anthropic/claude-opus-4.6,Q1,C1,rules_selected,1,0.833333333333333,0.909090909090909,6,5
anthropic/claude-opus-4.6,Q1,C1,edges_support,0.555555555555556,0.5,0.526315789473684,10,9
anthropic/claude-opus-4.6,Q1,C2,rules_selected,0.6,0.6,0.6,5,5
anthropic/claude-opus-4.6,Q1,C2,edges_support,0.375,0.6,0.461538461538462,5,8
anthropic/claude-opus-4.6,Q2,C1,rules_selected,1,0.636363636363636,0.777777777777778,11,7
anthropic/claude-opus-4.6,Q2,C1,edges_support,0.777777777777778,0.4375,0.56,16,9
anthropic/claude-opus-4.6,Q2,C2,rules_selected,1,0.636363636363636,0.777777777777778,11,7
anthropic/claude-opus-4.6,Q2,C2,edges_support,0.777777777777778,0.636363636363636,0.7,11,9
anthropic/claude-opus-4.6,Q3,C1,rules_selected,1,0.466666666666667,0.636363636363636,15,7
anthropic/claude-opus-4.6,Q3,C1,edges_support,0.777777777777778,0.269230769230769,0.4,26,9
anthropic/claude-opus-4.6,Q3,C2,rules_selected,0.857142857142857,0.857142857142857,0.857142857142857,7,7
anthropic/claude-opus-4.6,Q3,C2,edges_support,0.666666666666667,0.545454545454545,0.6,11,9
anthropic/claude-opus-4.6,Q4,C1,rules_selected,1,0.388888888888889,0.56,18,7
anthropic/claude-opus-4.6,Q4,C1,edges_support,0.777777777777778,0.269230769230769,0.4,26,9
anthropic/claude-opus-4.6,Q4,C2,rules_selected,0.428571428571429,0.272727272727273,0.333333333333333,11,7
anthropic/claude-opus-4.6,Q4,C2,edges_support,0.333333333333333,0.1875,0.24,16,9
anthropic/claude-opus-4.6,Q5,C1,rules_selected,1,0.5,0.666666666666667,14,7
anthropic/claude-opus-4.6,Q5,C1,edges_support,0.1,0.0416666666666667,0.0588235294117647,24,10
anthropic/claude-opus-4.6,Q5,C2,rules_selected,1,0.428571428571429,0.6,14,6
anthropic/claude-opus-4.6,Q5,C2,edges_support,0.75,0.25,0.375,24,8
google/gemini-3.1-pro-preview,Q1,C1,rules_selected,1,0.5,0.666666666666667,6,3
google/gemini-3.1-pro-preview,Q1,C1,edges_support,0.6,0.3,0.4,10,5
google/gemini-3.1-pro-preview,Q1,C2,rules_selected,0.666666666666667,0.4,0.5,5,3
google/gemini-3.1-pro-preview,Q1,C2,edges_support,0.5,0.4,0.444444444444444,5,4
google/gemini-3.1-pro-preview,Q2,C1,rules_selected,1,0.272727272727273,0.428571428571429,11,3
google/gemini-3.1-pro-preview,Q2,C1,edges_support,0.8,0.25,0.380952380952381,16,5
google/gemini-3.1-pro-preview,Q2,C2,rules_selected,1,0.363636363636364,0.533333333333333,11,4
google/gemini-3.1-pro-preview,Q2,C2,edges_support,0.833333333333333,0.454545454545455,0.588235294117647,11,6
google/gemini-3.1-pro-preview,Q3,C1,rules_selected,1,0.266666666666667,0.421052631578947,15,4
google/gemini-3.1-pro-preview,Q3,C1,edges_support,0.75,0.115384615384615,0.2,26,4
google/gemini-3.1-pro-preview,Q3,C2,rules_selected,1,0.428571428571429,0.6,7,3
google/gemini-3.1-pro-preview,Q3,C2,edges_support,1,0.272727272727273,0.428571428571429,11,3
google/gemini-3.1-pro-preview,Q4,C1,rules_selected,1,0.388888888888889,0.56,18,7
google/gemini-3.1-pro-preview,Q4,C1,edges_support,0.727272727272727,0.307692307692308,0.432432432432432,26,11
